М.Видео,59.881519,30.316880
М.Видео,59.928002,30.316420
М.Видео,59.900123,30.317890
Эльдорадо,59.934280,30.335099
Эльдорадо,59.948672,30.314552
Эльдорадо,59.917126,30.336219
DNS,59.970456,30.315506
DNS,59.912345,30.340123
DNS,59.887654,30.320987
OZON,59.955543,30.303456
OZON,59.902312,30.301234
OZON,59.941234,30.321567
Wildberries,59.937890,30.315432
Wildberries,59.954321,30.309876
Wildberries,59.923456,30.306789
Лента,59.946789,30.301234
Лента,59.934567,30.323456
Лента,59.917890,30.319876
Пятёрочка,59.925678,30.334567
Пятёрочка,59.919876,30.308765
Пятёрочка,59.932123,30.307654
Ашан,59.917654,30.305432
Ашан,59.944321,30.321987
Ашан,59.962345,30.315432
Metro,59.900987,30.314321
Metro,59.934567,30.323210
Metro,59.926543,30.306543
